key,pitch,string,fret
1,55,,
2,56,,
3,57,,
4,58,,
5,59,,
6,60,,
7,61,,
8,62,,
9,63,,
0,64,,
q,50,,
w,51,,
e,52,,
r,53,,
t,54,,
y,55,,
u,56,,
i,57,,
o,58,,
p,59,,
a,45,,
s,46,,
d,47,,
f,48,,
g,49,,
h,50,,
j,51,,
k,52,,
l,53,,
f,54,,
z,40,,
x,41,,
c,42,,
v,43,,
b,44,,
n,45,,
m,46,,
d,47,,
d,48,,
d,49,,
